3:3:4:389:1:0:1:0.000013:[[0,0,375],[0,0,0],[7,0,0]]
3:3:4:397:1:0:1:0.000014:[[359,0,0],[0,363,0],[0,0,359]]
3:3:4:401:1:0:1:0.000014:[[0,0,38],[0,0,0],[382,0,0]]
3:3:4:409:1:0:1:0.000015:[[369,0,0],[0,38,0],[0,0,369]]
3:3:4:419:1:0:1:0.000014:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:421:1:0:1:0.000014:[[28,0,0],[0,399,0],[0,0,28]]
3:3:4:431:1:0:1:0.000016:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:433:1:0:1:0.000014:[[399,0,0],[0,2,0],[0,0,399]]
3:3:4:439:1:0:1:0.000013:[[0,0,0],[0,28,0],[0,0,0]]
3:3:4:443:1:0:1:0.000015:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:449:1:0:1:0.000015:[[0,0,26],[0,0,0],[436,0,0]]
3:3:4:457:1:0:1:0.000016:[[8,0,0],[0,447,0],[0,0,8]]
3:3:4:461:1:0:1:0.000016:[[0,0,58],[0,0,0],[432,0,0]]
3:3:4:463:1:0:1:0.000016:[[0,0,0],[0,443,0],[0,0,0]]
3:3:4:467:1:0:1:0.000019:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:479:1:0:1:0.000019:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:487:1:0:1:0.000019:[[0,0,0],[0,443,0],[0,0,0]]
3:3:4:491:1:0:1:0.000013:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:499:1:0:1:0.000018:[[0,0,0],[0,467,0],[0,0,0]]
3:3:4:503:1:0:1:0.000018:[[0,0,0],[0,0,0],[0,0,0]]
3:3:4:509:1:0:1:0.000017:[[0,0,34],[0,0,0],[492,0,0]]
3:3:4:521:1:0:1:0.000020:[[0,0,62],[0,0,0],[490,0,0]]
3:3:4:523:1:0:1:0.000020:[[0,0,0],[0,515,0],[0,0,0]]
3:3:4:541:1:0:1:0.000018:[[521,0,0],[0,495,0],[0,0,521]]
