3:3:4:397:1:0:1:0.000019:[[363,0,0],[0,396,0],[0,0,35]]
3:3:4:401:1:0:1:0.000020:[[0,0,257],[0,0,0],[326,0,0]]
3:3:4:409:1:0:1:0.000019:[[381,0,0],[0,38,0],[0,0,381]]
3:3:4:419:1:0:1:0.000016:[[0,0,310],[0,0,0],[93,0,0]]
3:3:4:421:1:0:1:0.000020:[[2,0,0],[0,399,0],[0,0,2]]
3:3:4:431:1:0:1:0.000016:[[0,0,256],[0,0,0],[145,0,0]]
3:3:4:433:1:0:1:0.000020:[[335,0,0],[0,35,0],[0,0,81]]
3:3:4:439:1:0:1:0.000021:[[14,0,0],[0,411,0],[0,0,14]]
3:3:4:443:1:0:1:0.000017:[[0,0,171],[0,0,0],[133,0,0]]
3:3:4:449:1:0:1:0.000016:[[0,0,181],[0,0,0],[283,0,0]]
3:3:4:457:1:0:1:0.000018:[[227,0,0],[0,41,0],[0,0,201]]
3:3:4:461:1:0:1:0.000018:[[0,0,343],[0,0,0],[197,0,0]]
3:3:4:463:1:0:1:0.000017:[[418,0,0],[0,420,0],[0,0,64]]
3:3:4:467:1:0:1:0.000017:[[0,0,249],[0,0,0],[29,0,0]]
3:3:4:479:1:0:1:0.000022:[[0,0,291],[0,0,0],[42,0,0]]
3:3:4:487:1:0:1:0.000016:[[124,0,0],[0,468,0],[0,0,328]]
3:3:4:491:1:0:1:0.000016:[[0,0,65],[0,0,0],[356,0,0]]
3:3:4:499:1:0:1:0.000016:[[2,0,0],[0,32,0],[0,0,2]]
3:3:4:503:1:0:1:0.000019:[[0,0,97],[0,0,0],[443,0,0]]
3:3:4:509:1:0:1:0.000018:[[0,0,388],[0,0,0],[504,0,0]]
3:3:4:521:1:0:1:0.000020:[[0,0,84],[0,0,0],[43,0,0]]
3:3:4:523:1:0:1:0.000016:[[479,0,0],[0,480,0],[0,0,69]]
3:3:4:541:1:0:1:0.000020:[[513,0,0],[0,495,0],[0,0,513]]
